실태조사응답자일련번호,응답자성별코드,응답자연령대코드,응답자거주지역코드
FFNSR_RSPT_CONNO,RSPT_SXDST_CD,RSPT_AGGRP_CD,RSPT_RSDNC_ARCD
1790,F,5,11
1792,F,3,11
1793,M,6,11
1795,F,3,11
1796,F,2,11
1797,M,1,3
1798,F,3,8
1799,F,3,8
1800,F,6,8
1801,F,2,1
1802,M,5,1
1803,F,3,8
1805,F,6,8
1806,F,3,1
1807,F,2,8
1808,M,1,8
1809,F,6,8
1810,F,4,8
1811,F,2,1
1813,F,4,1
1815,M,5,1
1816,F,2,1
1817,F,5,1
1818,F,5,1
1820,M,2,1
1822,M,5,15
1823,F,5,1
1824,M,4,1
1825,F,1,15
1826,F,1,15
1827,F,2,1
1828,M,6,14
1830,F,2,11
1831,M,1,15
1832,F,2,1
1833,F,3,1
1834,M,1,15
1838,M,3,15
1839,F,3,3
1840,M,1,1
1843,M,3,3
1844,M,3,3
1845,F,2,10
1846,F,3,3
1847,M,4,11
1848,F,6,15
1849,M,1,16
1850,M,5,16
1851,M,4,16
1852,M,5,1
1854,F,2,16
1855,M,2,16
1856,M,4,11
1857,M,1,16
1858,M,5,16
1859,F,1,16
1860,M,1,16
1861,F,6,10
1862,F,4,11
1863,M,5,10
1864,F,5,16
1865,M,4,8
1866,F,4,1
1867,F,6,16
1868,M,3,11
1870,F,4,8
1871,F,2,16
1872,F,4,16
1873,M,4,1
1874,F,4,11
1875,M,3,8
1876,F,3,1
1877,F,3,16
1878,F,4,11
1879,F,5,15
1881,F,3,1
1882,F,5,7
1883,F,3,16
1884,F,4,1
1885,M,5,16
1886,M,6,7
1887,F,4,11
1889,M,2,1
1890,F,1,1
1891,F,5,1
1893,M,2,8
1894,F,3,1
1895,F,5,1
1896,F,5,6
1898,F,2,4
1899,M,1,8
1900,M,3,16
1901,F,3,4
1902,F,5,1
1904,M,4,5
1905,M,4,5
1908,F,4,6
1909,F,3,1
1910,M,2,8
1912,F,1,1
1913,F,3,1
1915,M,4,14
1916,F,5,16
1917,F,2,8
1918,F,5,1
1921,M,5,16
1922,M,2,1
1923,F,1,3
1924,F,5,1
1925,F,3,1
1926,F,6,3
1927,F,3,1
1928,F,1,8
1929,F,3,1
1930,F,3,1
1932,F,1,8
1933,F,2,1
1934,M,1,1
1935,M,6,1
1936,F,1,8
1937,M,1,1
1938,M,4,1
1939,M,2,8
1940,F,1,8
1941,F,5,8
1944,F,5,1
1947,M,4,1
1948,F,2,8
1949,F,6,8
1950,F,3,1
1951,M,3,15
1952,F,2,8
1953,M,3,8
1954,M,3,15
1955,F,6,1
1956,M,2,8
1957,F,5,1
1959,F,6,1
1960,M,3,8
1961,F,3,16
1962,F,2,1
1963,F,5,1
1964,M,4,8
1965,F,4,1
1967,M,1,1
1968,M,1,14
1970,M,2,2
1972,M,3,4
1973,F,6,14
1974,M,3,1
1975,M,3,1
1979,M,3,2
1982,M,6,3
1983,F,6,3
1984,F,6,1
1986,F,1,8
1987,F,5,3
1989,F,2,1
1990,F,3,11
1991,F,5,3
1992,M,2,2
1993,M,1,1
1994,F,6,15
1995,F,5,3
1996,M,2,2
1997,M,6,1
1998,F,3,8
1999,F,3,8
2000,F,3,11
2002,M,4,14
2003,F,2,1
2004,M,2,2
2005,M,3,1
2007,M,4,16
2008,M,4,14
2010,F,5,1
2012,M,5,1
2013,M,1,1
2014,F,4,8
2015,M,1,1
2016,M,2,2
2017,M,5,15
2018,M,5,1
2019,M,4,2
2020,M,5,8
2021,M,4,8
2022,F,2,1
2023,F,6,15
2024,M,1,1
2025,M,4,2
2026,M,3,1
2027,F,3,1
2029,M,3,8
2030,F,4,1
2031,F,3,1
2032,M,1,1
2033,M,3,8
2034,F,4,1
2036,M,2,1
